Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
7 Welcome to London,2012,"Drama, Romance, Thriller            ","Indian immigrant Jai finds friendship and love, upon arriving in London. However one phone call changes everything, thrusting him into a dark and dangerous situation.",5.2,144,9,Asad Shan,"Asad Shan, Sabeeka Imam, Metin Ahmet, Musa Ahmet","['indian', 'immigrant', 'jai', 'finds', 'friendship', 'love,', 'upon', 'arriving', 'london.', 'however', 'one', 'phone', 'call', 'changes', 'everything,', 'thrusting', 'dark', 'dangerous', 'situation.']"
Chitkabrey,2011,"Drama, Mystery, Thriller            ","The Shades of Grey deals with interpersonal relationships of seven couples instigated by a master planner that changes their lives. The colleagues seemingly living happily help, slowly reveal pasts of treachery, deceit and lies.",3.9,144,10,Suneet Arora,"Ravi Kishan, Rahul Singh, Sanjay Swaraj, Akshay Singh","['shades', 'grey', 'deals', 'interpersonal', 'relationships', 'seven', 'couples', 'instigated', 'master', 'planner', 'changes', 'lives.', 'colleagues', 'seemingly', 'living', 'happily', 'help,', 'slowly', 'reveal', 'pasts', 'treachery,', 'deceit', 'lies.']"
Yatra,2006,Drama            ,Yatra is a journey of a person whose claim to fame is interrupted by his past which comes in the way of his present. Yatra comes across a strong subject that of a prostitute and its ...                See full summary »,6.3,144,15,Goutam Ghose,"Rekha, Nana Patekar, Deepti Naval, Nakul Vaid","['yatra', 'journey', 'person', 'whose', 'claim', 'fame', 'interrupted', 'past', 'comes', 'way', 'present.', 'yatra', 'comes', 'across', 'strong', 'subject', 'prostitute', '...', 'see', 'full', 'summary', '»']"
Zulm Ki Hukumat,1992,"Action, Crime, Drama            ","When a gangster falls prey to gang war launched by his rival, his estranged younger brother joins the police to find his killer.",5.3,144,29,Bharat Rangachary,"Dharmendra, Moushumi Chatterjee, Govinda, Kimi Katkar","['gangster', 'falls', 'prey', 'gang', 'war', 'launched', 'rival,', 'estranged', 'younger', 'brother', 'joins', 'police', 'find', 'killer.']"
Market,2003,"Drama, Musical            ","When newly married bride, Neelu, was brought in the brothel by her husband, Appa Rao, on false pretences, Muskaan Bano, a courtesan for several years, also remembered her unfortunate story....                See full summary »",3.5,144,18,Jayprakkash Shaw,"Manisha Koirala, Suman Ranganath, Aryan Vaid, Shweta Menon","['newly', 'married', 'bride,', 'neelu,', 'brought', 'brothel', 'husband,', 'appa', 'rao,', 'false', 'pretences,', 'muskaan', 'bano,', 'courtesan', 'several', 'years,', 'also', 'remembered', 'unfortunate', 'story....', 'see', 'full', 'summary', '»']"
Chori Mera Kaam,1975,"Comedy, Musical, Romance            ","Bhola Nath is a young petty criminal/robber/pickpocket whom works with a female acomplice and his former lover, Sharmii. Bhola unknowlingly is the illigetimate son of a police officer, ...                See full summary »",7.0,144,46,Brij,"Ashok Kumar, Shashi Kapoor, Zeenat Aman, Pran","['bhola', 'nath', 'young', 'petty', 'criminal/robber/pickpocket', 'works', 'female', 'acomplice', 'former', 'lover,', 'sharmii.', 'bhola', 'unknowlingly', 'illigetimate', 'son', 'police', 'officer,', '...', 'see', 'full', 'summary', '»']"
Teesra Kaun?,1994,"Comedy, Thriller            ","Enroute via train to Bombay, one of three friends become a suspect in a homicide.",5.2,144,27,Partho Ghosh,"Mithun Chakraborty, Chunky Panday, Somy Ali, Javed Jaffrey","['enroute', 'via', 'train', 'bombay,', 'one', 'three', 'friends', 'become', 'suspect', 'homicide.']"
Sanjog,1972,"Comedy, Drama, Family            ",Mohan and Asha are in love and eventually marry in a private temple much against Mohan's parents' wishes. Mohan goes out of town for some months. Upon his return his parents lies to him ...                See full summary »,6.2,144,49,S.S. Balan,"Mala Sinha, Amitabh Bachchan, Aruna Irani, Madan Puri","['mohan', 'asha', 'love', 'eventually', 'marry', 'private', 'temple', 'much', ""mohan's"", ""parents'"", 'wishes.', 'mohan', 'goes', 'town', 'months.', 'upon', 'return', 'parents', 'lies', '...', 'see', 'full', 'summary', '»']"
Boxer,1984,"Action, Drama, Sport            ","Shanker is jailed for theft and there meets with Tony, who introduces him to professional boxing, after witnessing him fight an inmate. When he gets out of jail, Shanker takes up professional boxing.",6.2,143,37,Raj N. Sippy,"Tanuja, Mithun Chakraborty, Rati Agnihotri, Sharat Saxena","['shanker', 'jailed', 'theft', 'meets', 'tony,', 'introduces', 'professional', 'boxing,', 'witnessing', 'fight', 'inmate.', 'gets', 'jail,', 'shanker', 'takes', 'professional', 'boxing.']"
Haathkadi,1995,"Action, Comedy, Drama            ",Assistant Commissioner of Police Suraj Chauhan wants to eliminate crime from his region by bringing all criminals to justice. His crime-reporter brother Arun attempts to expose the criminal...                See full summary »,4.2,143,26,Rama Rao Tatineni,"Govinda, Shilpa Shetty Kundra, Madhoo, Shakti Kapoor","['assistant', 'commissioner', 'police', 'suraj', 'chauhan', 'wants', 'eliminate', 'crime', 'region', 'bringing', 'criminals', 'justice.', 'crime-reporter', 'brother', 'arun', 'attempts', 'expose', 'criminal...', 'see', 'full', 'summary', '»']"
Kaamchor,1982,"Drama, Family            ",Suraj has been a slacker all his adult life. He hates any kind of work - rather it's paying or volunteer. One day he gate-crashes a wedding ceremony and finds out that the groom is to live ...                See full summary »,6.6,143,39,K. Viswanath,"Rakesh Roshan, Jaya Prada, Tanuja, Sujit Kumar","['suraj', 'slacker', 'adult', 'life.', 'hates', 'kind', 'work', '-', 'rather', 'paying', 'volunteer.', 'one', 'day', 'gate-crashes', 'wedding', 'ceremony', 'finds', 'groom', 'live', '...', 'see', 'full', 'summary', '»']"
Man On Mission Jaanbaaz,2005,Action            ,"After Sandhya is attacked by the men of Bhikshapati, a landlord, her boyfriend Sree rescues her and learns that his father has a history with him.",4.5,142,16,,"Mohan Babu, Raghu Babu","['sandhya', 'attacked', 'men', 'bhikshapati,', 'landlord,', 'boyfriend', 'sree', 'rescues', 'learns', 'father', 'history', 'him.']"
Jugni,2016,Drama            ,"Jugni (Firefly) is the beat of the soul, the free-flying spirit. Jugni is Vibhavari (Vibs). Vibs is a music director, working on her first big break in the Hindi film industry. When work ...                See full summary »",6.2,142,5,Shefali Bhushan,"Anurita Jha, Sadhana Singh, Sugandha Garg, Jaswant Daman","['jugni', '(firefly)', 'beat', 'soul,', 'free-flying', 'spirit.', 'jugni', 'vibhavari', '(vibs).', 'vibs', 'music', 'director,', 'working', 'first', 'big', 'break', 'hindi', 'film', 'industry.', 'work', '...', 'see', 'full', 'summary', '»']"
Goopi Gawaiya Bagha Bajaiya,2013,"Animation, Comedy, Drama            ","The story of Goopi and Bagha, a pair of musicians gifted with magical powers by the King of Ghosts.",7.1,142,8,Shilpa Ranade,"Aditya Sharma, Manish Bhawan, Vishal Kumar, Shailendra Pande","['story', 'goopi', 'bagha,', 'pair', 'musicians', 'gifted', 'magical', 'powers', 'king', 'ghosts.']"
Kasam Paida Karne Wale Ki,1984,"Action, Drama            ","Aarti lives with her only son Avinash. When Avinash falls in love and decides to get married, she tells him the truth about his father's death.",5.7,142,37,Babbar Subhash,"Mithun Chakraborty, Smita Patil, Salma Agha, Amrish Puri","['aarti', 'lives', 'son', 'avinash.', 'avinash', 'falls', 'love', 'decides', 'get', 'married,', 'tells', 'truth', ""father's"", 'death.']"
Fareb,1996,"Action, Crime, Drama            ",A police inspector is infatuated with the wife of a doctor and tries to break them apart by hook or crook.,4.7,142,25,Vikram Bhatt,"Faraaz Khan, Suman Ranganath, Ashok Lath, Vishwajeet Pradhan","['police', 'inspector', 'infatuated', 'wife', 'doctor', 'tries', 'break', 'apart', 'hook', 'crook.']"
36 Ghante,1974,"Action, Crime, Drama            ","Three jailed convicts, Himmat, his brother Ajit, and Dilawar Khan break out of prison and take over the household of Editor Ashok Rai. The convicts will continue to hold the family hostage until their associate, Kamini contacts them in person.",6.7,142,47,Raj Tilak,"Raaj Kumar, Mala Sinha, Sunil Dutt, Vijay Arora","['three', 'jailed', 'convicts,', 'himmat,', 'brother', 'ajit,', 'dilawar', 'khan', 'break', 'prison', 'take', 'household', 'editor', 'ashok', 'rai.', 'convicts', 'continue', 'hold', 'family', 'hostage', 'associate,', 'kamini', 'contacts', 'person.']"
Hello Hum Lallann Bol Rahe Hain,2010,"Comedy, Drama            ",A security guard arranges the marriage of the woman he loves to another man.,6.3,141,11,lip Shukla,"Rajpal Yadav, Preeti Mehra, Makarand Anaspure, Ketki Dave","['security', 'guard', 'arranges', 'marriage', 'woman', 'loves', 'another', 'man.']"
Shreemaan Aashique,1993,"Comedy, Romance            ","Professor Vishwa Mitra, the founder of a group that dissuades marriages, and his follower fall in love with the same girl, Shakoo. Durshan persuades Vishwa to take the right decision and marry Bindu.",4.8,141,28,pak Anand,"Rishi Kapoor, Urmila Matondkar, Bindu, Tiku Talsania","['professor', 'vishwa', 'mitra,', 'founder', 'group', 'dissuades', 'marriages,', 'follower', 'fall', 'love', 'girl,', 'shakoo.', 'durshan', 'persuades', 'vishwa', 'take', 'right', 'decision', 'marry', 'bindu.']"
Alif,2017,Drama            ,"Narrated by Jaya Bachchan, Alif is the heartwarming tale of a Muslim Tamil kid trying to adapt to the convent school culture and the hostilities he faces.",6.5,140,4,Zaigham Imam,"Neelima Azim, Pawan Tiwari, Bhavna Pani, Danish Husain","['narrated', 'jaya', 'bachchan,', 'alif', 'heartwarming', 'tale', 'muslim', 'tamil', 'kid', 'trying', 'adapt', 'convent', 'school', 'culture', 'hostilities', 'faces.']"
Naaraaz,1994,"Action, Crime, Drama            ","Wealthy author Ajay Pandit befriends angry and poor Deva, who lives in the nearby slums with his widower father. After the two men grow up, Ajay falls in love with Sonali, while Deva ...                See full summary »",4.5,140,27,Mahesh Bhatt,"Pooja Bhatt, Mithun Chakraborty, Atul Agnihotri, Sonali Bendre","['wealthy', 'author', 'ajay', 'pandit', 'befriends', 'angry', 'poor', 'deva,', 'lives', 'nearby', 'slums', 'widower', 'father.', 'two', 'men', 'grow', 'up,', 'ajay', 'falls', 'love', 'sonali,', 'deva', '...', 'see', 'full', 'summary', '»']"
Kajarya,2013,Drama            ,"Set in the present times against two backdrops, New Delhi with its shining buildings and apparent cosmopolitan veneer, thinly veils an underbelly of crimes against women and corruption at ...                See full summary »",6.5,139,8,Madhureeta Anand,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil, Shashi Bhushan","['set', 'present', 'times', 'two', 'backdrops,', 'new', 'delhi', 'shining', 'buildings', 'apparent', 'cosmopolitan', 'veneer,', 'thinly', 'veils', 'underbelly', 'crimes', 'women', 'corruption', '...', 'see', 'full', 'summary', '»']"
Kaagaz Ke Fools,2015,Comedy            ,"Revolving around a middle-class family, Kaagaz Ke Fools touches upon the issue of lack of good novel writers.",3.8,139,6,Anil Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Amit Behl","['revolving', 'around', 'middle-class', 'family,', 'kaagaz', 'ke', 'fools', 'touches', 'upon', 'issue', 'lack', 'good', 'novel', 'writers.']"
Nazar,2005,Thriller            ,"Bombay Police are baffled when several women of lose moral, bar girls, and prostitutes are found brutally murdered by a scalpel. The Police would like to assign this case to Inspector ...                See full summary »",3.8,139,16,Soni Razdan,"Meera, Ashmit Patel, Koel Purie, Neena Gupta","['bombay', 'police', 'baffled', 'several', 'women', 'lose', 'moral,', 'bar', 'girls,', 'prostitutes', 'found', 'brutally', 'murdered', 'scalpel.', 'police', 'would', 'like', 'assign', 'case', 'inspector', '...', 'see', 'full', 'summary', '»']"
Main Tulsi Tere Aangan Ki,1978,"Drama, Family            ","A woman raises the illegitimate son of her husband along with her own, treating them both equally. But her decision to hand over the property matters to the illegitimate son is met with hostility by her own revenge-minded son.",6.7,139,43,Raj Khosla,"Nutan, Asha Parekh, Vijay Anand, Vinod Khanna","['woman', 'raises', 'illegitimate', 'son', 'husband', 'along', 'own,', 'treating', 'equally.', 'decision', 'hand', 'property', 'matters', 'illegitimate', 'son', 'met', 'hostility', 'revenge-minded', 'son.']"
Udhaar Ki Zindagi,1994,Drama            ,"Sitaram runs his family in an authoritarian manner. He has planned the marriage of his son, Vasudev, only to be told that Vasudev loves another woman, Suman, who he plans to marry. Sitaram ...                See full summary »",5.7,139,27,K.V. Raju,"Jeetendra, Moushumi Chatterjee, Kajol, Rohit Bhatia","['sitaram', 'runs', 'family', 'authoritarian', 'manner.', 'planned', 'marriage', 'son,', 'vasudev,', 'told', 'vasudev', 'loves', 'another', 'woman,', 'suman,', 'plans', 'marry.', 'sitaram', '...', 'see', 'full', 'summary', '»']"
Pratibandh,1990,"Action, Drama            ","Born in an orphanage, brought up by his strict and unrelenting school-master, Satyendra Sharma, young Siddhanth has not been shown any love or kindness in his entire life. Now he is grown ...                See full summary »",5.9,139,31,Ravi Raja Pinisetty,"Chiranjeevi, Juhi Chawla, Rami Reddy, Harish Patel","['born', 'orphanage,', 'brought', 'strict', 'unrelenting', 'school-master,', 'satyendra', 'sharma,', 'young', 'siddhanth', 'shown', 'love', 'kindness', 'entire', 'life.', 'grown', '...', 'see', 'full', 'summary', '»']"
Gehri Chaal,1973,"Action, Crime, Thriller            ","Dharamchand is the Chair of Olympic Bank, which is due for a final audit by the 30th of the month. Shortly thereafter, his daughter, Hema, finds his dead body in his bedroom. She phones her...                See full summary »",5.4,139,48,C.V. Sridhar,"Jeetendra, Hema Malini, Amitabh Bachchan, Bindu","['dharamchand', 'chair', 'olympic', 'bank,', 'due', 'final', 'audit', '30th', 'month.', 'shortly', 'thereafter,', 'daughter,', 'hema,', 'finds', 'dead', 'body', 'bedroom.', 'phones', 'her...', 'see', 'full', 'summary', '»']"
Suraj,1966,"Romance, Musical, Action            ","Maharaja Vikram decides to marry his daughter Anuradha to his commander's son, Pratap. However, years later, Anuradha is abducted by bandit Suraj while on her way to Pratap's coronation.",6.6,139,55,T. Prakash Rao,"Vyjayanthimala, Rajendra Kumar, Ajit, Gajanan Jagirdar","['maharaja', 'vikram', 'decides', 'marry', 'daughter', 'anuradha', ""commander's"", 'son,', 'pratap.', 'however,', 'years', 'later,', 'anuradha', 'abducted', 'bandit', 'suraj', 'way', ""pratap's"", 'coronation.']"
Bhasmasur,2017,Drama            ,"Dhaanu, a poor villager, heavily in financial debt, stealthily returns from the city to the village one night. He is hiding from a moneylender who he owes a handsome sum of money. Pushed ...                See full summary »",6.8,138,4,Nishil Sheth,"Imran Rasheed, Mittal Chouhan, Trimala Adhikari, Bhushan Vikas","['dhaanu,', 'poor', 'villager,', 'heavily', 'financial', 'debt,', 'stealthily', 'returns', 'city', 'village', 'one', 'night.', 'hiding', 'moneylender', 'owes', 'handsome', 'sum', 'money.', 'pushed', '...', 'see', 'full', 'summary', '»']"
Laali Ki Shaadi Mein Laaddoo Deewana,2017,"Comedy, Drama, Musical            ",Laali and Ladoo get trapped in a royal wedding that takes place in Vadodara.,3.4,138,4,Manish Harishankar,"Gurmeet Choudhary, Bharat Dungrani, Akshara Haasan, Darshan Jariwala","['laali', 'ladoo', 'get', 'trapped', 'royal', 'wedding', 'takes', 'place', 'vadodara.']"
Badmashiyaan,2015,"Comedy, Romance            ","Dev's girlfriend leaves him on the night he was planning to propose to her. Months later, a private investigator is trying to track her down.",4.6,138,6,Amit Khanna,"Sidhant Gupta, Suzanna Mukherjee, Gunjan Malhotra, Sharib Hashmi","[""dev's"", 'girlfriend', 'leaves', 'night', 'planning', 'propose', 'her.', 'months', 'later,', 'private', 'investigator', 'trying', 'track', 'down.']"
